Open;High;Low;Close;Adj Close;Volume
377.000000;379.910004;365.809998;370.459991;370.459991;6974900
367.920013;369.000000;361.359985;364.369995;364.369995;6572000
360.899994;364.200012;352.750000;362.750000;362.750000;5882600
361.619995;365.260010;353.059998;361.040009;361.040009;5657100
352.290009;354.260010;343.100006;345.260010;345.260010;8026700
348.709991;349.950012;342.500000;345.609985;345.609985;5353000
343.339996;356.500000;341.390015;354.989990;354.989990;6340100
356.369995;364.000000;353.940002;359.309998;359.309998;6441500
356.390015;359.619995;353.790009;354.450012;354.450012;4725400
351.230011;352.420013;345.399994;348.109985;348.109985;4621500
350.950012;356.429993;349.929993;354.269989;354.269989;4026400
358.010010;370.459991;357.299988;359.730011;359.730011;6229400
355.500000;357.420013;347.700012;352.209991;352.209991;5630400
355.410004;359.440002;353.790009;354.390015;354.390015;3831000
354.390015;361.200012;353.649994;355.059998;355.059998;4717100
353.600006;353.850006;345.899994;349.190002;349.190002;5658900
350.549988;354.209991;348.299988;351.850006;351.850006;4008000
347.220001;349.339996;342.920013;343.279999;343.279999;5023400
343.559998;347.660004;332.649994;336.630005;336.630005;7849600
345.000000;353.609985;343.250000;353.399994;353.399994;7891600
354.380005;357.880005;348.709991;355.730011;355.730011;5020100
354.839996;358.209991;352.089996;357.130005;357.130005;3710000
357.390015;365.149994;355.690002;360.869995;360.869995;4777300
363.649994;367.100006;349.290009;352.010010;352.010010;7810300
355.000000;357.579987;348.500000;351.269989;351.269989;5396700
351.820007;353.609985;343.230011;345.559998;345.559998;4584700
347.230011;348.500000;339.250000;343.429993;343.429993;6209300
341.630005;343.399994;336.160004;339.730011;339.730011;5019000
342.690002;351.769989;342.059998;350.619995;350.619995;5358200
355.570007;361.500000;353.750000;357.119995;357.119995;5428500
361.720001;364.739990;356.119995;363.519989;363.519989;5667200
365.910004;370.119995;361.220001;365.209991;365.209991;5899500
365.000000;371.450012;365.000000;369.209991;369.209991;7448400
370.269989;375.000000;370.200012;371.040009;371.040009;4830200
370.750000;371.000000;358.290009;360.299988;360.299988;5750400
361.600006;366.790009;361.600006;362.200012;362.200012;3669700
363.200012;370.850006;363.200012;370.019989;370.019989;4138600
370.260010;371.540009;364.869995;367.320007;367.320007;4592700
373.500000;376.660004;372.000000;374.600006;374.600006;4992600
374.890015;376.000000;370.309998;375.429993;375.429993;3625000
376.690002;381.989990;375.839996;381.720001;381.720001;3799000
378.290009;381.399994;375.559998;380.549988;380.549988;3732200
378.190002;378.250000;375.359985;376.160004;376.160004;3113400
379.059998;384.760010;377.500000;379.929993;379.929993;6932800
382.769989;384.339996;362.679993;381.000000;381.000000;5878800
381.100006;384.540009;378.799988;379.500000;379.500000;4336300
378.679993;379.739990;372.790009;373.250000;373.250000;6636900
372.940002;373.679993;362.299988;366.600006;366.600006;7944700
370.089996;371.339996;364.920013;365.989990;365.989990;5863200
366.250000;366.500000;361.750000;362.440002;362.440002;13639500
323.760010;329.850006;320.299988;325.209991;325.209991;31287100
323.399994;325.850006;314.230011;315.100006;315.100006;16302500
312.000000;314.540009;305.809998;310.619995;310.619995;17718000
311.440002;313.500000;306.000000;307.299988;307.299988;9171100
